iter	Passed	Remaining
0	20	12467
1	43	13112
2	65	13150
3	85	12783
4	104	12572
5	123	12333
6	135	11599
7	156	11678
8	176	11685
9	195	11658
10	217	11753
11	239	11821
12	256	11700
13	279	11800
14	296	11657
15	314	11569
16	327	11342
17	346	11300
18	365	11259
19	382	11196
20	405	11266
21	423	11225
22	441	11164
23	481	11658
24	497	11548
25	520	11580
26	538	11521
27	556	11470
28	575	11439
29	595	11417
30	625	11586
31	644	11542
32	661	11473
33	686	11521
34	705	11488
35	727	11498
36	747	11477
37	767	11458
38	785	11393
39	807	11403
40	831	11431
41	848	11376
42	871	11384
43	891	11360
44	910	11333
45	931	11323
46	950	11289
47	971	11270
48	990	11235
49	1008	11195
50	1030	11198
51	1046	11132
52	1067	11113
53	1087	11099
54	1106	11064
55	1126	11048
56	1147	11033
57	1167	11014
58	1186	10984
59	1206	10957
60	1227	10944
61	1249	10940
62	1266	10900
63	1284	10860
64	1305	10846
65	1328	10847
66	1347	10819
67	1368	10808
68	1387	10781
69	1407	10760
70	1429	10755
71	1448	10723
72	1467	10696
73	1486	10670
74	1507	10653
75	1526	10628
76	1547	10613
77	1567	10588
78	1589	10585
79	1610	10565
80	1631	10552
81	1652	10536
82	1673	10524
83	1691	10493
84	1709	10459
85	1726	10417
86	1740	10363
87	1756	10318
88	1774	10285
89	1792	10257
90	1810	10224
91	1826	10186
92	1843	10146
93	1862	10127
94	1880	10096
95	1898	10064
96	1914	10025
97	1931	9991
98	1949	9964
99	1966	9933
100	1982	9894
101	2012	9923
102	2032	9906
103	2059	9922
104	2078	9899
105	2095	9866
106	2114	9841
107	2130	9804
108	2149	9779
109	2167	9754
110	2186	9730
111	2203	9697
112	2219	9664
113	2239	9643
114	2254	9605
115	2271	9575
116	2287	9541
117	2305	9515
118	2323	9488
119	2340	9461
120	2359	9438
121	2378	9417
122	2398	9400
123	2417	9378
124	2435	9352
125	2452	9322
126	2468	9290
127	2487	9268
128	2502	9233
129	2519	9206
130	2534	9171
131	2550	9140
132	2567	9112
133	2585	9086
134	2600	9054
135	2614	9016
136	2630	8984
137	2644	8948
138	2658	8913
139	2671	8872
140	2686	8841
141	2701	8808
142	2715	8773
143	2731	8745
144	2744	8707
145	2756	8667
146	2769	8628
147	2785	8600
148	2798	8563
149	2813	8533
150	2827	8501
151	2838	8459
152	2850	8420
153	2862	8383
154	2875	8349
155	2888	8314
156	2902	8283
157	2917	8254
158	2931	8223
159	2944	8190
160	2959	8161
161	2974	8133
162	2987	8102
163	3001	8070
164	3014	8039
165	3029	8010
166	3041	7977
167	3053	7941
168	3065	7908
169	3077	7874
170	3090	7844
171	3102	7810
172	3113	7775
173	3126	7743
174	3138	7711
175	3150	7679
176	3163	7649
177	3174	7614
178	3185	7581
179	3196	7547
180	3210	7520
181	3225	7495
182	3237	7466
183	3249	7434
184	3260	7403
185	3273	7373
186	3285	7343
187	3295	7310
188	3308	7281
189	3321	7255
190	3333	7226
191	3346	7197
192	3358	7168
193	3372	7144
194	3386	7120
195	3398	7091
196	3410	7062
197	3422	7035
198	3435	7009
199	3446	6978
200	3457	6948
201	3469	6922
202	3481	6895
203	3493	6866
204	3505	6839
205	3519	6817
206	3532	6792
207	3545	6767
208	3557	6740
209	3571	6717
210	3584	6692
211	3595	6666
212	3609	6642
213	3626	6626
214	3639	6601
215	3651	6576
216	3663	6549
217	3674	6523
218	3687	6499
219	3700	6476
220	3715	6455
221	3725	6428
222	3737	6402
223	3749	6378
224	3762	6353
225	3773	6328
226	3785	6303
